"IP","Categories","ReportDate","Comment"
"89.228.193.116","4,19","2024-11-28T14:10:27+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 OPR/114.0.0.0"
"23.109.212.228","4,19","2024-11-28T14:10:20+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"165.155.164.86","4,19","2024-11-28T14:10:20+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"51.15.101.41","4,19","2024-11-28T14:10:20+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"116.203.139.209","4,19","2024-11-28T14:10:20+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"165.155.164.126","4,19","2024-11-28T14:10:20+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"172.94.111.243","4,19","2024-11-28T14:10:20+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"213.148.10.80","4,19","2024-11-28T14:10:20+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"51.159.159.73","4,19","2024-11-28T14:10:20+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"85.135.250.113","4,19","2024-11-28T14:10:20+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"223.206.61.240","4,19","2024-11-28T14:10:20+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"45.186.217.119","4,19","2024-11-28T14:10:21+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"165.155.164.71","4,19","2024-11-28T14:10:21+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"2001:470:b56c:6ae1:22c9:f654:d442:6798","4,19","2024-11-28T14:10:21+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"34.100.189.71","4,19","2024-11-28T14:10:21+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
