Timestamp UTC,Original Timestamp,RayID,IP,Endpoint,User-Agent,CFAction,Country
2024-09-14T14:04:00.514Z,2024-09-14T12:28:11.982Z,8c2cfd96991be5fa,205.169.39.252,"/","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",CHALLENGE,US
2024-09-14T14:04:00.514Z,2024-09-14T12:28:11.983Z,8c2cf3c0dc14d346,207.154.212.47,"/s/33e27393e2431313e2838313/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties","Go-http-client/1.1",BLOCK,DE
2024-09-14T14:04:00.514Z,2024-09-14T12:28:11.983Z,8c2cf3beb99e1981,2a03:b0c0:3:d0::d1a:1,"/","N/A",BLOCK,DE
2024-09-14T14:04:00.514Z,2024-09-14T12:28:11.983Z,8c2cf3bf8a2c9b3a,2a03:b0c0:3:d0::fef:2001,"/","Mozilla/5.0 (Linux; Android 6.0; HTC One M9 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.98 Mobile Safari/537.3",CHALLENGE,DE
2024-09-14T14:04:00.515Z,2024-09-14T12:28:11.983Z,8c2cf3becf8e9966,2a03:b0c0:3:d0::e58:2001,"/","N/A",BLOCK,DE
2024-09-14T14:04:00.515Z,2024-09-14T12:28:11.983Z,8c2cf3bf4fcf37cc,2a03:b0c0:3:d0::fe3:3001,"/","Mozilla/5.0 (Linux; Android 6.0; HTC One M9 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.98 Mobile Safari/537.3",CHALLENGE,DE
2024-09-14T14:04:00.515Z,2024-09-14T12:28:11.983Z,8c2cf3bf5d245b86,2a03:b0c0:3:d0::1047:b001,"/","Mozilla/5.0 (Linux; Android 6.0; HTC One M9 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.98 Mobile Safari/537.3",CHALLENGE,DE
2024-09-14T14:04:00.515Z,2024-09-14T12:28:11.984Z,8c2cf3bec955d25d,2a03:b0c0:3:d0::20:e001,"/","N/A",BLOCK,DE
2024-09-14T14:04:00.515Z,2024-09-14T12:28:11.984Z,8c2ce5963ab1bb17,179.43.128.16,"/","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",MANAGED_CHALLENGE,T1
2024-09-14T14:04:00.515Z,2024-09-14T12:28:11.984Z,8c2ce27ef8e2062f,44.205.236.212,"/","N/A",BLOCK,US
2024-09-14T14:04:00.515Z,2024-09-14T12:28:11.984Z,8c2cbe104d43841e,198.235.24.6,"/","N/A",BLOCK,US
2024-09-14T14:04:00.515Z,2024-09-14T12:28:11.984Z,8c2ca8e28a821d06,185.129.62.62,"/resources/v3/genshin-stella-mod/reshade/ReShade.log","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)",MANAGED_CHALLENGE,T1
2024-09-14T14:04:00.515Z,2024-09-14T12:28:11.985Z,8c2ca62fcf94cba4,175.16.73.42,"/","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.146 Safari/537.36",CHALLENGE,CN
2024-09-14T14:04:00.515Z,2024-09-14T12:28:11.985Z,8c2ca5e5b92382ae,18.204.203.144,"/sellers.json","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",CHALLENGE,US
2024-09-14T14:04:00.515Z,2024-09-14T12:28:11.985Z,8c2c9ee399dfb333,37.205.8.220,"/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5042.0 Safari/537.36",MANAGED_CHALLENGE,T1
